,target_text,pred_str
0,CHAIR,CHAIR
1,NAPKIN,NAPKIN
2,GUMSHOE,GUMSHOE
3,PUSH,PUSH
4,A FEATHER WAS IN THE BIRDCAGE,A FEATHER WAS IN THE BIRDCAGE
5,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
6,SPOONS,SPOONS
7,CRENSHAW,SCRENSHAW
8,EASIER,EASIER
9,ATHLETE,ATHLETE
10,ICEBERG,ICEBERG
11,BEHIND,BEHIND
12,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
13,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
14,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL STROED TOMATOES IN THE COURTYARD
15,WE WATCHED TELEVISION DURING DINNER,WE WATCHED TELEVISION DURING DINNER
16,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE FROM THE DESE
17,HOMEMAKING,HOMEMAKING
18,NUCLEAR,NUCLEAR
19,MOHAWK,MOHAWK
20,BOOMERANG,BOOMERANG
21,FIVE,FIVE
22,THEY PUT MY COMPUTER NEXT TO THE BOOKS,THEY PUT MY COMPUTER NEXT BY THE BOOKS
23,KINGPIN,KINGPIN
24,MCDONALD,MCDONALD
25,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
26,DESIGN,DESIGN
27,ETHNIC,ETHNIC
28,DON'T THINK ABOUT IT TOO MUCH,DON'T THINK ABOUT IT TOO MUCH
29,WE HAD A BIRDS EYE VIEW,WE HAD A BIRDS EYE VI
30,I HOPE THE AIRPLANE WILL GET HIGHER,I HOPE THE AIRPLANE WILL GET HIGHER
31,CONCEPT,CONCEPT
32,DIRECT,DIRECT
33,ANNOUNCE,ANNOUNCE
34,HOPEFUL,HOPEFUL
35,WILL YOU PLEASE BATHE,WILL YOU PLEASE BATHE
36,BUYING THE RING TOOK ALL OF MY MONEY,BUYING THE RING TOOK ALL OF MY MONEY
37,BRONCO,BRONCO
38,MOUTHS,MOUTHS
39,FOUR,FOUR
40,GIVE KEITH A MOMENT TO THINK,GIVE KEITH A MOMENT TO THINK
41,TAKE OFF YOUR HAT PLEASE,TAKE OFF YOUR HAT PLEASE
42,OBJECTED,OBJECTED
43,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
44,OUR TENT CAN HOLD SIX PEOPLE,OUR TENT CAN HOLD SIX PEOPLE
45,LUMBERYARD,LUMBERYARD
46,INTERRUPT,INTERRUPT
47,AWESOME,AWESOME
48,CULTURES,CULTURES
49,EMPLOYEES,EMPLOYES
50,FAITHFUL,FAITHFUL
51,MICROWAVES,MICROWAVES
52,BIGFOOT,BIGFOOT
53,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
54,PUSH,PUSH
55,WHY IS THE EARTH INSIDE THE MILKY WAY,WHY IS THE EARTH INSIDE THE MIKY WAY
56,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
57,HARDSHIP,HARDSHIP
58,CHEWY,CHEWY
59,NORMAL,NORMAL
60,SPOONS,SPOONS
61,THE BRIEFCASE IS OPEN NOW,RECASE IS OPEN NOW
62,AVERAGE,AVERAGE
63,LOYAL,LOYAL
64,YOU CAN SAVE WATER IN YOUR BATHTUB,COULD SAVE WATER IN YOUR BATHTUB
65,CROSS,CROSS
66,EIGHT,
67,THE ANGRY CHEF COOKED HIS VEGETABLES,THE RY CHEF COOKED HIS VEGETABLES
68,HANDSHAKE,HANDSHAKE
69,NINE,NINE
70,CHALK,CHAK
71,TURN THE VOLUME ON THE RADIO DOWN,TURN THE VOLUME FROM THE RADIO DOWN
72,SAN DIEGO IS VERY GREEN THIS YEAR,SAN DIEGO IS VERY GREEN THIS YEAR
73,PUSH,PUSH
74,OASIS,OASIS
75,DOUG THINKS HE WILL WIN THE RACE,DO DRINK ZY  WIN THE RACE
76,LAWYER,YAL
77,MEANINGLESS,MEANINGS
78,MOISTURE,MOISTURE
79,FLAGPOLE,FLAGPOLE
80,WHO WILL THE SOLDIER VOTE FOR,WHO WILL THE SOLDIER ROTEGO
81,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
82,EDGAR DOES NOT HAVE A JOB,EDGAR DOES NOT HAVE A JOB
83,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
84,SPOONS,SPOONS
85,DIGESTED,DIGESTED
86,CLIFFHANGER,CLIFFHANGER
87,HOOF,HOOF
88,ALLOWING,ALLOWING
89,SIR HAVE YOU SEEN MY COAT,SIR HAVE YOU SEEN MY COAT
90,NOTHING,NOTHING
91,CHILDHOOD,CHILDHOOD
92,HAWTHORNE,HAWTHORNE
93,HE BREATHED A SIGH OF RELIEF,HE BREATHED A SIGH OF RELIEF
94,BECAUSE MY LEG IS SORE I CAN'T PLAY,BECAUSE MY LEG IS SORE I CAN'T PLAY
95,WHEN WILL WE GO ON VACATION,WILL WE GO ON VACATION
96,FANCY,FANCY
97,MIDNIGHT,MIDNIGHT
98,BIOLOGY,BIOLOGY
99,DASHBOARD,DASHBOARD
100,ENDURE,ENDURE
101,LURE,LURE
102,JOIN,JOIN
103,EATING BLUEBERRIES GIVES YOU BLUE HANDS,EATING BLUEBERRIES GIVES YOU BLUE ANDS
104,BACKGROUND,BACKGROUND
105,PUSH,PUSH
106,HOURLY,HORLY
107,LETHARGIC,LETHARGIC
108,ARCHRIVAL,ARCHRIVAL
109,OBSTACLE,OBSTACLE
110,COOPERATE,COOPERATE
111,DISRUPT,DISRUPT
112,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
113,DON'T LEAVE SO SOON,DON'T LEAVE SO SOON
114,HER VEINS POP OUT WHEN SHE IS MAD,HER VEINS POP OUT WHEN SHE IS VERY MAD
115,HE WAS REALLY NICE TO US,HE WAS REALLY NICE TO US
116,SHE'LL BE READY VERY SOON,SHE'LL BE READY VERY SOON
117,SPOONS,SPOONS
118,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
119,THAT WAS AN ODD DECISION,THAT WAS AN ODD DECISION
120,MUSICIAN,MUSICIAN
121,FRAGMENT,FRAGMENT
122,ONE,ONE
123,YOU CAN SAVE WATER IN YOUR BATHTUB,YOU CAN SAVE WATER IN YOUR BATHTUB
124,CROSS,CROSS
125,EIGHT,EIGHT
126,AVERAGE,AVERAGE
127,IMAGERY,IMAGERY
128,LOYAL,LOYAL
129,YANKEE,YANKEE
130,THATCH,THATCH
131,TRAUMA,TRAUMA
132,THE BRIEFCASE IS OPEN NOW,THE BRIEFCASE IS OPEN NOW
133,RUGBY,RUGBY
134,EXPLOSION,EXPLOSION
135,BEYOND,BEYOND
136,TURN THE VOLUME ON THE RADIO DOWN,TURN THE VOLUME ON THE RADIO DOWN
137,WARMTH,WARMTH
138,SUBTRACT,SUBTRACT
139,CHALK,CHALK
140,NINE,NINE
141,HANDSHAKE,HANDSHAKE
142,THE ANGRY CHEF COOKED HIS VEGETABLES,THE ANGRY CHEF COOKED HIS VEGETABLES
143,FLAGPOLE,FLAGPOLE
144,PLAYHOUSE,PLAYHOUSE
145,MOISTURE,MOISTURE
146,BREATH,BREATH
147,SCREWDRIVER,SCREWDRIVER
148,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
149,THURSDAY,THURSDAY
150,UNDERNEATH,UNDERNEATH
151,SQUEEGEE,QUEETHE
152,PUSH,PUSH
153,STOOGES,STOOGES
154,UPWARD,UPWARD
155,LAWYER,LAWYER
156,MEANINGLESS,MEANINGLESS
157,PATHETIC,PATHETIC
158,DOUG THINKS HE WILL WIN THE RACE,DOUG THINKS HE WILL WIN THE RACE
159,SAN DIEGO IS VERY GREEN THIS YEAR,SAN DIEGO WAIS VERY GREEN THIS YEAR
160,STEWART HAS FIVE FRIENDS IN RICHMOND,STEWART HAS FIVE FRIENDS IN RICHMOND
161,SHIRT,SHIRT
162,SNAKE,SNAKE
163,ALLOWING,ALLOWING
164,HOOF,HOOF
165,PAY ALBERT FOR THE FRESH WATER,PAY ALBERT FOR THE FRESH WATER
166,CLIFFHANGER,CLIFFHANG
167,DIGESTED,DIGESTED
168,REAL,REAL
169,SPOONS,SPOONS
170,TAB,TAB
171,WISEGUY,WISEGUY
172,EDGAR DOES NOT HAVE A JOB,EDGAR DOES NOT HAVE A JOB
173,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
174,SAFEWAY,SAFEWAY
175,I LIKE MY MEAT ON A COLD PLATTER,T MADE ME A COLD PPLATTER
176,THOUSAND,THOUSAND
177,TREASURE,TREASURE
178,YOU CAN SEE BUGS LIGHT UP THE SKY,YOU CAN SEE BUGS LIGHT UP THE SKY
179,YELLOW,YELLOW
180,THE RAIN CHASED THE DIRT DOWN THE DRAIN,THE RAIN CHASED THE DIRT DOWN THE DRAIN
181,PUSH,PUSH
182,ORGANIZATIONS,ORGANIZATIONS
183,SLOGAN,SLOGAN
184,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
185,PASS THEIR NOTES ALONG,PASS THEIR NOTES ALONG
186,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THEHE STREET
187,SPOONS,SPOONS
188,PLEASE OFFER THEM A DINNER MINT,TOSE OFFER THEM DINNER MIMI
189,WASH,WASH
190,SUGGEST,SUGGEST
